contraction,expansion
sekseh,seksi
seksi,seksi
selpi,selfie
selfie,swafoto
swafoto,swafoto
semangka,semangat
semangat,semangat
spirit,semangat
semok,seksi
sempak,celana dalam
celana dalam,celana dalam
cd,celana dalam
sendratari,seni drama tari
sene,sana
sana,sana
kono,sana
seng,yang
sentrap,sentral
sentral,pusat
pusat,pusat
seo,optimasi mesin pencari
sgt,sangat
shg,sehingga
sehingga,sehingga
dadi,sehingga
shot,foto
si,si
sia,saja
siap,siap
siap,siap
ready,siap
sikon,situasi kondisi
situasi kondisi,situasi kondisi
sim,surat izin mengemudi
surat izin mengemudi,surat izin mengemudi
sinetron,sinema elektronik
sinyo,tuan muda
ska,suka
skalian,sekalian
sekalian,sekalian
pisan,sekalian
skdr,sekadar
sekadar,sekadar
sklh,sekolah
skrg,sekarang
sekarang,sekarang
skrng,sekarang
saiki,sekarang
sakniki,sekarang
sl,selalu
selalu,selalu
tansah,selalu
terus,selalu
slah,salah
salah,salah
keliru,salah
kliru,salah
slh,salah
slm,salam
salam,salam
slmat,selamat
slonjoran,berselonjor
berselonjor,berselonjor
slsai,selesai
selesai,selesai
smw,semua
semua,semua
kabeh,semua
sedaya,semua
sndri,sendiri
sng,senang
senang,senang
bungah,senang
sngt,sangat
sok,pura-pura
pura2,pura-pura
ethok ethok,pura-pura
sokil,gaul
gaul,gaul
songong,sombong
sombong,sombong
kemaki,sombong
sop,standar operasional prosedur
sotoy,sok tahu
sok tahu,sok tahu
keminter,sok tahu
spa,siapa
sp,siapa
spik,berbohong
sppa,siapa
spy,supaya
sr,saudara
sriusan,seriusan
serius,serius
tenan,serius
srt,surat
surat,surat
layang,surat
st,setengah
setengah,setengah
separo,setengah
stby,siaga
siaga,siaga
standby,siaga
stiap,setiap
setiap,setiap
saben,setiap
stlh,setelah
setelah,setelah
bar,setelah
mari,setelah
stnk,surat tanda nomor kendaraan
struck,struk
struk,struk
nota,struk
std,standar
standar,standar
su,sudah
sub,langganan
langganan,langganan
subscribe,langganan
suer,sumpah
sumpah,sumpah
tenan,sumpah
t4,tempat
tempat,tempat
gon,tempat
papan,tempat
tablo,bodoh
bodoh,bodoh
goblok,bodoh
pekok,bodoh
bego,bodoh
tauk,tahu
taw,tahu
td,tadi
tadi,tadi
mau,tadi
wau,tadi
tdi,tadi
teh,kakak
telat,terlambat
terlambat,terlambat
telat,terlambat
kasip,terlambat
telmi,telat berpikir
tengil,menyebalkan
tepar,terkapar
terkapar,terkapar
teler,mabuk
tercyduk,tertangkap
tertangkap,tertangkap
keciduk,tertangkap
kegrebek,tertangkap
tering,teringat
teringat,teringat
kelingan,teringat
kemutan,teringat
teteh,kakak
tg,tentang
tentang,tentang
bab,tentang
tgl,tanggal
tanggal,tanggal
tgu,tunggu
tunggu,tunggu
ngenteni,tunggu
tmbh,tambah
th,tahun
tahun,tahun
taun,tahun
thengkyu,terima kasih
thebest,terbaik
terbaik,terbaik
paling apik,terbaik
thn,tahun
tilang,bukti pelanggaran
tipi,televisi
televisi,televisi
tipu,bohong
tks,terima kasih
tl,telepon
telepon,telepon
tlg,tolong
tlp,telepon
tman,teman
tml,tamat
tamat,selesai
tmp,tempat
tmpt,tempat
tnda,tanda
tanda,tanda
tnggu,tunggu
tnh,tanah
tanah,tanah
lemah,tanah
siti,tanah
tntg,tentang
tny,tanya
tanya,tanya
takon,tanya
tanglet,tanya
tok,saja
toko,toko
warung,toko
kedai,toko
tol,bodoh
tolongin,tolong
tong,tong
top,terbaik
trf,transfer
transfer,transfer
trgntg,tergantung
tergantung,tergantung
gumantung,tergantung
trhdp,terhadap
terhadap,terhadap
trkhr,terakhir
terakhir,terakhir
pungkasan,terakhir
trlalu,terlalu
terlalu,terlalu
kebangeten,terlalu
trm,terima
terima,terima
trima,terima
nampa,terima
nampi,terima
trmksh,terima kasih
trms,terima kasih
trnyt,ternyata
ternyata,ternyata
jebule,ternyata
trnyta,ternyata
trsrh,terserah
terserah,terserah
sakarepmu,terserah
karepmu,terserah
tru,taruh
taruh,taruh
kek,taruh
deleh,taruh
ts,pengirim asli
tst,tes
tes,tes
coba,tes
uji,tes
ttd,tertanda
tertanda,tertanda
ttg,tentang
tuh,itu
tuk,untuk
tv,televisi
tw,tahu
twt,tweet
tweet,cuitan
cuitan,cuitan
u,kamu
ujg,ujung
ujung,ujung
pucuk,ujung
ul,ulang
ulang,ulang
baleni,ulang
ulti,kemampuan pamungkas
skill ultimate,kemampuan pamungkas
jururs pamungkas,kemampuan pamungkas
unch,gemas
up,naik
val,nilai
nilai,nilai
poin,nilai
skor,nilai
valid,sah
sah,sah
resmi,sah
vid,video
video,video
vroh,kakak
w/,dengan
wadir,wakil direktur
wakil direktur,wakil direktur
wae,saja
wak,bapak
wakil,perwakilan
perwakilan,perwakilan
wakuncar,waktu kunjung pacar
wanna,ingin
warbyasah,luar biasa
luar biasa,luar biasa
apik banget,luar biasa
warkop,warung kopi
warung kopi,warung kopi
wass,wasalam
wasalam,wasalam
wat,buat
weh,saja
well,baik
baik,baik
apik,baik
sae,baik
wenak,enak
enak,enak
eco,enak
sedap,enak
what,apa
who,siapa
why,mengapa
wil,wilayah
wilayah,wilayah
daerah,wilayah
with,dengan
wjb,wajib
wjh,wajah
wajah,wajah
rai,wajah
pasuryan,wajah
wjr,wajar
wajar,wajar
pantes,wajar
wna,warga negara asing
warga negara asing,warga negara asing
bule,warga negara asing
wni,warga negara indonesia
warga negara indonesia,warga negara indonesia
wokey,oke
wow,kagum
kagum,kagum
takjub,kagum
wp,bagus
well played,bagus
wta,ingin bertanya
wth,apa-apaan
apa apaan,apa-apaan
wts,ingin menjual
ingin menjual,ingin menjual
xixixi,tertawa
yaa,iya
yah,ya
yahud,hebat
hebat,hebat
mantap,hebat
jos,hebat
yak,ya
yank,sayang
ygy,ya guys ya
ya ges ya,ya guys ya
yok,ayo
you,kamu
your,milikmu
milikmu,milikmu
youtu,kamu juga
kamu juga,kamu juga
yup,ya
z,tidur
afk,pergi sebentar
away,pergi sebentar
buff,peningkatan kekuatan
nerf,penurunan kekuatan
gank,sergapan
ganking,melakukan sergapan
push,dorong jalur
def,bertahan
defense,bertahan
mid,jalur tengah
top,jalur atas
bot,jalur bawah
lane,jalur
jungle,hutan
farm,mencari sumber daya
farming,sedang mencari sumber daya
meta,strategi populer
build,susunan item
item,barang
cd,waktu jeda
cooldown,waktu jeda
mana,energi sihir
hp,poin kesehatan
health points,poin kesehatan
nyawa,poin kesehatan
darah,poin kesehatan
exp,poin pengalaman
experience,poin pengalaman
lvl,level
level,tingkat
party,grup
guild,kelompok pemain
clan,kelompok pemain
mmr,peringkat matchmaking
elo,peringkat matchmaking
ranked,mode peringkat
unranked,mode biasa
patch,pembaruan game
bug,kesalahan program
glitch,kesalahan program
ping,latensi jaringan
dc,terputus
disconnect,terputus
reconnect,menyambung kembali
carry,pemain utama penyerang
support,pemain pendukung
tank,pemain bertahan utama
mage,penyihir
assassin,pembunuh
fighter,petarung
marksman,penembak jitu
adc,penyerang jarak jauh utama
spam,mengirim pesan berlebihan
toxic,berperilaku buruk
ggwp,permainan bagus
bngt,banget
beneran,sungguh
bner,benar
bnr,benar
bener,benar
bener²,benar-benar
betul,benar
btul,benar
iy,iya
y,iya
yup,iya
yoi,iya
yoii,iya
hooh,iya
hadeh,aduh
haduh,aduh
astaga,astaga
astaghfirullah,astaghfirullah
yaampun,ya ampun
ya ampun,ya ampun
gpp,tidak apa-apa
gapapa,tidak apa-apa
ngga papa,tidak apa-apa
nggak papa,tidak apa-apa
maav,maaf
maapin,maafkan
maafin,maafkan
sori,maaf
tenkyu,terima kasih
makasii,terima kasih
makasihh,terima kasih
maaciw,terima kasih
tengkyu,terima kasih
trimakasih,terima kasih
kenawhy,kenapa
knpa,kenapa
kenawhy,kenapa
cemungut,semangat
semangatt,semangat
spirit,semangat
gemoy,gemas
gemes,gemas
kangen,rindu
kgn,rindu
kangenn,rindu
kzl,kesal
kesel,kesal
sebel,kesal
pewe,posisi nyaman
mageran,suka malas gerak
magerr,malas gerak
mnding,lebih baik
mendingan,lebih baik
gimanaa,bagaimana
gimanaaa,bagaimana
gmna,bagaimana
gmnaa,bagaimana
udahh,sudah
udahan,sudahan
beres,selesai
kelar,selesai
mari,selesai
rampung,selesai
sbntr,sebentar
sebentarr,sebentar
ra,tidak
ndak,tidak
gabole,tidak boleh
gaboleh,tidak boleh
gaboleh,tidak boleh
gak boleh,tidak boleh
tak boleh,tidak boleh
tdk boleh,tidak boleh
opo,apa
opo?,apa?
paan,apa
mantep,mantap
mantapp,mantap
asikk,asik
asikkk,asik
seruu,seru
seruuu,seru
krn,keren
kerennn,keren
kece,keren
spill,bocorkan info
spill the tea,bongkar rahasia
based,keren
slay,keren
mood,suasana hati
relate,bisa dimengerti
literally,banget
periodt,titik
iykyk,jika kamu tahu ya tahu
pov,sudut pandang
irl,di dunia nyata
ghosting,menghilang tiba-tiba
ngghosting,menghilang tiba-tiba
healing,liburan
overthinking,berpikir berlebihan
salty,kesal
cringe,memalukan
aneh,aneh
flexing,pamer
ship,mendukung hubungan
ngeship,mendukung hubungan
stan,penggemar berat
random,acak
vibes,suasana
chill,santai
sans,santai
santuy,santai
worth it,sepadan
spammer,pengirim spam
hater,pembenci
fans,penggemar
influencer,pemengaruh
selebtwit,selebriti twitter
content creator,pembuat konten
username,nama pengguna
password,kata sandi
error,galat
kesalahan,kesalahan
download,unduh
upload,unggah
install,pasang
uninstall,copot pemasangan
spek,spesifikasi
akun,akun
private,pribadi
public,publik
anjay,astaga
mantull,mantap betul
gjls,tidak jelas
bengek,tertawa terbahak-bahak
ambyar,hancur
halu,mengkhayal
julid,nyinyir
baper,bawa perasaan
receh,mudah tertawa
komuk,kondisi muka
paripurna,sempurna
retweet,retweet
rt,retweet
komen,komentar
comment,komentar
like,suka
thread,utas
mutualan,saling mengikuti
mutual,teman mutual
alter,akun alternatif
menfess,kirim pesan anonim
rep,balas
reply,balas
qrt,kutip retweet
bm,banyak mau
base,basis penggemar
grup,grup
fl,pengikut
follbek,ikuti balik
unfoll,berhenti mengikuti
pc,pesan pribadi
op,pengirim asli
spasi,spasi
link,tautan
url,tautan
bio,biodata
ava,foto profil
avatar,foto profil
header,gambar sampul
profil,profil
verif,verifikasi
verified,terverifikasi
centang biru,terverifikasi
trending,sedang tren
topik,topik
hashtag,tagar
tag,tandai
mention,sebut
snn,senin
sls,selasa
rbo,rabu
kms,kamis
jmt,jumat
sbt,sabtu
mggu,minggu
malming,malam minggu
weekend,akhir pekan
weekday,hari kerja
pagii,pagi
siangg,siang
soree,sore
malm,malam
hbd,selamat ulang tahun
ultah,ulang tahun
slmt,selamat
congrats,selamat
congratulations,selamat
paan,apa
knpa,kenapa
gmna,bagaimana
dmna,dimana
brpa,berapa
kpnn,kapan
bgmn,bagaimana
spe,siapa
yg mana,yang mana
mn,mana
gni,begini
gini,begini
ni,ini
nii,ini
tu,itu
tuu,itu
zha,saja
wae,saja
blng,bilang
liatt,lihat
dtg,datang
dateng,datang
plg,pulang
mnum,minum
tdr,tidur
mndi,mandi
skuy,ayo
tbtb,tiba-tiba
tiba2,tiba-tiba
nggawe,membuat
neng,di
bang,kakak
sis,kakak (perempuan)
buk,ibu
bu,ibu
tante,bibi
bund,bunda
smpah,sumpah
bangettt,banget
parahh,parah
parah bgt,parah sekali
asli,asli
aseli,asli
bet,banget
bangor,nakal
nakall,nakal
bocil,anak kecil
bestie,sahabat
pren,teman
ngab,kakak
lord,jagoan
damage,kerusakan
no debat,tidak usah diperdebatkan
valid no debat,sangat benar
infoo,informasi
inpo,informasi
minimal,setidaknya
maksimal,sebanyak-banyaknya
srius,serius
seriusan?,serius?
becanda,bercanda
bcanda,bercanda
canda,bercanda
wibu,penggemar budaya jepang
kpopers,penggemar kpop
drakor,drama korea
curhat,curahan hati
curcol,curhat colongan
ngedate,kencan
kondangan,menghadiri undangan
outfit,pakaian
ootd,pakaian hari ini
recommended,direkomendasikan
rekomen,direkomendasikan
prefer,lebih suka
request,permintaan
req,permintaan
sender,pengirim
random amat,aneh sekali
dll,dan lain-lain
dsb,dan sebagainya
sbb,sebagai berikut
yg pntg,yang penting
pntg,penting
ptg,penting
mnrt,menurut
tq,terima kasih
thx,terima kasih
thanks,terima kasih
thankyou,terima kasih
ty,terima kasih
drtd,dari tadi
kpn2,kapan-kapan
spertinya,sepertinya
mngkn,mungkin
mngkin,mungkin
moga2,semoga-semoga
sempet,sempat
smpt,sempat
lewt,lewat
sblum,sebelum
setlh,setelah
sempet,sempat
ntar,nanti
tar,nanti
ntaran,nanti saja
entar,nanti
ntaps,mantap
njs,najis
jirr,anjing
wih,wah
wihh,wah
widih,wah
cakep,tampan
gans,ganteng
cans,cantik
cantikk,cantik
parah,buruk
anjir,astaga
anjim,astaga
astajim,astaga
astapiruloh,astaghfirullah
gilak,gila
sinting,gila
edun,gila
paripurna,sempurna
sempurna,sempurna
mantul,mantap betul
mantull,mantap betul
problem,masalah
masalahh,masalah
solusi,solusi
sharing,berbagi
cerita,cerita
ceritain,ceritakan
curhatin,curahkan isi hati
mengsedih,sangat sedih
sedihh,sedih
happy,senang
seneng,senang
senengg,senang
sumringah,bahagia
bahagia,bahagia
ketawa,tertawa
ngakak,tertawa
bengek,tertawa
nangis,menangis
nanges,menangis
cry,menangis
emosi,emosi
emosian,mudah emosi
marah,marah
marahh,marah
ngamuk,marah besar
bete,bosan
bosen,bosan
gabut,bosan
ngantuk,mengantuk
ngntk,mengantuk
tidurr,tidur
bangun,bangun
bgn,bangun
mikir,berpikir
mikirr,berpikir
mikirin,memikirkan
pusing,pusing
puyeng,pusing
mumet,pusing
males,malas
malesin,membuat malas
rajin,rajin
smangat,semangat
usaha,usaha
berjuang,berjuang
nyerah,menyerah
cape,lelah
capek,lelah
caapek,lelah
lelahh,lelah
istirahat,istirahat
ngaso,istirahat
main,main
maen,main
jalan2,jalan-jalan
healing,liburan
liburan,liburan
kerja,kerja
kerkom,kerja kelompok
nugas,mengerjakan tugas
tugas,tugas
sekolah,sekolah
kuliah,kuliah
kampus,kampus
kantor,kantor
duit,uang
cuan,uang
fulus,uang
bokek,tidak punya uang
kere,tidak punya uang
kaya,kaya
miskin,miskin
sederhana,sederhana
gratis,gratis
free,gratis
diskon,potongan harga
sale,obral
promo,promosi
mahal,mahal
murah,murah
murcee,murah sekali
jajan,membeli makanan ringan
ngemil,makan makanan ringan
laper,lapar
lapar,lapar
haus,haus
kenyang,kenyang
minum,minum
makan,makan
enak,enak
enakk,enak
lezat,enak
nikmat,enak
gaenak,tidak enak
gak enak,tidak enak
pahit,pahit
manis,manis
asem,asam
asin,asin
pedes,pedas
pedas,pedas
panas,panas
dingin,dingin
adem,dingin
seger,segar
segar,segar
sehat,sehat
sakit,sakit
demam,demam
pilek,pilek
batuk,batuk
sembuh,sembuh
cepet,cepat
cepetan,lebih cepat
lambat,lambat
lemot,lambat
lelet,lambat
buru2,buru-buru
buru-buru,buru-buru
santai,santai
selow,santai
pelan2,pelan-pelan
pelan-pelan,pelan-pelan
rame,ramai
ramaii,ramai
sepi,sepi
sunyi,sepi
berisik,berisik
ribut,ribut
bising,berisik
tenang,tenang
damai,damai
aman,aman
bahaya,bahaya
hati2,hati-hati
hati-hati,hati-hati
waspada,waspada
jaga2,jaga-jaga
jaga-jaga,jaga-jaga
mudah,mudah
gampang,mudah
susah,sulit
sulit,sulit
sulitt,sulit
angel,sulit
repot,repot
ribet,repot
simpel,sederhana
sederhana,sederhana
bagus,bagus
jelek,jelek
buruk,buruk
keren,bagus
biasa,biasa
biasa aja,biasa saja
lumayan,lumayan
mayan,lumayan
cukup,cukup
kurang,kurang
lebih,lebih
pas,pas
cocok,cocok
sesuai,sesuai
beda,beda
lain,lain
sama,sama
mirip,mirip
persis,sama persis
besar,besar
gedhe,besar
gede,besar
kecil,kecil
cilik,kecil
panjang,panjang
pendek,pendek
tinggi,tinggi
rendah,rendah
jauh,jauh
dekat,dekat
deket,dekat
baru,baru
lama,lama
lawas,lama
tua,tua
muda,muda
banyak,banyak
bnyk,banyak
byk,banyak
sedikit,sedikit
dikit,sedikit
sdkt,sedikit
penuh,penuh
kosong,kosong
habis,habis
abis,habis
hbs,habis
masih,masih
tersisa,tersisa
sisa,sisa
penting,penting
urgent,penting
ga penting,tidak penting
gak penting,tidak penting
terserah,terserah
trserah,terserah
terserahh,terserah
tergantung,tergantung
trgantung,tergantung
mungkin,mungkin
mgkn,mungkin
kayaknya,sepertinya
keknya,sepertinya
kyknya,sepertinya
pasti,pasti
yakin,yakin
ragu,ragu
ragu2,ragu-ragu
ragu-ragu,ragu-ragu
bimbang,ragu-ragu
bingung,bingung
paham,paham
ngerti,paham
tau,tahu
tahu,tahu
gatau,tidak tahu
gak tau,tidak tahu
ga ngerti,tidak paham
lupa,lupa
lali,lupa
ingat,ingat
inget,ingat
benar,benar
salah,salah
betul,benar
keliru,salah
jujur,jujur
bohong,bohong
ngibul,bohong
percaya,percaya
prcaya,percaya
curiga,curiga
takut,takut
berani,berani
malu,malu
pede,percaya diri
minder,rendah diri
sombong,sombong
rendah hati,rendah hati
baik,baik
jahat,jahat
ramah,ramah
jutek,judes
galak,galak
sabar,sabar
gasabar,tidak sabar
ga sabar,tidak sabar
buru2,buru-buru
rajin,rajin
malas,malas
pintar,pintar
pinter,pintar
bodoh,bodoh
bego,bodoh
tolol,bodoh
goblok,bodoh
cerdas,pintar
kreatif,kreatif
inovatif,inovatif
unik,unik
spesial,khusus
khusus,khusus
umum,umum
publik,umum
rahasia,rahasia
privasi,privasi
terbuka,terbuka
tertutup,tertutup
bebas,bebas
terikat,terikat
kuat,kuat
lemah,lemah
aktif,aktif
pasif,pasif
positif,positif
negatif,negatif
optimis,optimistis
pesimis,pesimistis
semoga,semoga
moga,semoga
amin,amin
aamiin,amin
ya allah,ya Allah
ya Tuhan,ya Tuhan
bgtu,begitu
bgini,begini
bgmn,bagaimana
bgmna,bagaimana
trnyt,ternyata
trnyta,ternyata
sbnrnya,sebenarnya
sbnernya,sebenarnya
sblmnya,sebelumnya
sblm,sebelum
stlh,setelah
sesdh,sesudah
sesudah,sesudah
pdhl,padahal
pdahal,padahal
pdhlnya,padahal
krn,karena
karna,karena
krna,karena
kpd,kepada
kpdnya,kepadanya
utk,untuk
tuk,untuk
bwt,buat
dri,dari
drpd,daripada
daripda,daripada
sbg,sebagai
sbgi,sebagai
dgn,dengan
dgnnya,dengannya
dlm,dalam
ttg,tentang
tntg,tentang
mnrt,menurut
mnrut,menurut
sprti,seperti
sperti,seperti
bhw,bahwa
bhwa,bahwa
smntr,sementara
sementara,sementara
msg2,masing-masing
masing2,masing-masing
lngkp,lengkap
lengkap,lengkap
slrh,seluruh
seluruh,seluruh
slruh,seluruh
brsma,bersama
brsama2,bersama-sama
sendri,sendiri
sndiri,sendiri
brpa,berapa
brp,berapa
sgni,segini
segini,segini
sgtu,segitu
segitu,segitu
smua,semua
smw,semua
slalu,selalu
slalu,selalu
kdng,kadang
kdg,kadang
kdang2,kadang-kadang
kdg2,kadang-kadang
sring,sering
srg,sering
jrang,jarang
jrg,jarang
lbh,lebih
lbih,lebih
krg,kurang
krang,kurang
sdkt,sedikit
sdkit,sedikit
bnyk,banyak
byk,banyak
bbrp,beberapa
bbrapa,beberapa
stiap,setiap
setiap,setiap
msih,masih
msh,masih
blm,belum
blom,belum
belom,belum
sdh,sudah
udh,sudah
udah,sudah
akn,akan
tlah,telah
telah,telah
prnh,pernah
pernh,pernah
tdk,tidak
gak,tidak
ga,tidak
nggak,tidak
ngga,tidak
enggak,tidak
engga,tidak
bkn,bukan
bukn,bukan
jgn,jangan
jngn,jangan
hrus,harus
hrs,harus
wjb,wajib
wajib,wajib
msti,mesti
mesti,mesti
psti,pasti
pst,pasti
mgkn,mungkin
mngkn,mungkin
mngkin,mungkin
prlu,perlu
perlu,perlu
gprlu,tidak perlu
gaperlu,tidak perlu
bsa,bisa
bis,bisa
gbsa,tidak bisa
gabis,tidak bisa
blh,boleh
bole,boleh
gblh,tidak boleh
gabole,tidak boleh
sngat,sangat
sgt,sangat
amat,sangat
trlalu,terlalu
trllu,terlalu
skali,sekali
skli,sekali
banget,sekali
bgt,banget
bnget,banget
bngt,banget
hnya,hanya
hny,hanya
cma,cuma
cuma,cuma
sja,saja
sj,saja
lg,lagi
lgi,lagi
tmbh,tambah
tmbah,tambah
dtg,datang
dtng,datang
prgi,pergi
plg,pulang
pulng,pulang
msuk,masuk
kluar,keluar
kelar,keluar
naik,naik
trun,turun
turun,turun
bka,buka
buka,buka
ttp,tutup
tutup,tutup
mlai,mulai
mulai,mulai
slsai,selesai
selesai,selesai
brhnti,berhenti
berhenti,berhenti
jln,jalan
jlan,jalan
lari,lari
dduk,duduk
duduk,duduk
brdri,berdiri
berdiri,berdiri
liat,lihat
lht,lihat
dngr,dengar
dengar,dengar
bcr,bicara
bicara,bicara
ngmng,bicara
ktkn,katakan
katakan,katakan
blg,bilang
bilang,bilang
tny,tanya
tnya,tanya
jwab,jawab
jwb,jawab
jwbnya,jawabannya
mkn,makan
mkan,makan
mnm,minum
minum,minum
tdr,tidur
tidur,tidur
bgn,bangun
bangun,bangun
mndi,mandi
mandi,mandi
krja,kerja
kerja,kerja
bljr,belajar
belajar,belajar
ajar,ajar
ngajar,mengajar
bca,baca
baca,baca
tls,tulis
tulis,tulis
hti,hati
hati,hati
kpla,kepala
kepala,kepala
bdn,badan
badan,badan
tgn,tangan
tangan,tangan
kki,kaki
kaki,kaki
mt,mata
mata,mata
tlinga,telinga
telinga,telinga
hdung,hidung
hidung,hidung
mlt,mulut
mulut,mulut
rmh,rumah
rumah,rumah
skul,sekolah
sklh,sekolah
kntr,kantor
kantor,kantor
psr,pasar
pasar,pasar
tmpt,tempat
tempat,tempat
jkt,jakarta
jakarta,jakarta
bdg,bandung
bandung,bandung
sby,surabaya
surabaya,surabaya
indo,indonesia
indonesia,indonesia
hr,hari
hri,hari
mggu,minggu
minggu,minggu
bln,bulan
bulan,bulan
thn,tahun
taun,tahun
jam,jam
mnt,menit
menit,menit
dtk,detik
detik,detik
pgi,pagi
siang,siang
sore,sore
mlm,malam
malem,malam
bsk,besok
besok,besok
kmrn,kemarin
kemaren,kemarin
lsa,lusa
lusa,lusa
skrg,sekarang
skrng,sekarang
skrgnya,sekarangnya
ntr,nanti
nnti,nanti
tadi,tadi
td,tadi
dlu,dulu
dulu,dulu
awl,awal
awal,awal
akhr,akhir
akhir,akhir
prtma,pertama
pertama,pertama
trakhr,terakhir
terakhir,terakhir
byr,bayar
bayar,bayar
hrg,harga
harga,harga
brg,barang
barang,barang
duit,uang
info,informasi
informasi,informasi
nmr,nomor
nomor,nomor
alm,alamat
alamat,alamat
tlp,telepon
telp,telepon
telpon,telepon
hp,handphone
email,email
akun,akun
acc,akun
usrnm,username
username,username
pw,password
password,password
psn,pesan
pesan,pesan
komen,komentar
kmntr,komentar
like,suka
share,bagikan
bgkn,bagikan
upld,unggah
upload,unggah
dnld,unduh
download,unduh
ss,screenshot
screenshot,screenshot
rek,rekomendasi
rekom,rekomendasi
rekomendasi,rekomendasi
recsel,recommended seller
reseller,penjual kembali
ongkir,ongkos kirim
cod,bayar di tempat
tf,transfer
transf,transfer
rek,rekening
norek,nomor rekening
atm,anjungan tunai mandiri
saldo,saldo
lwt,lewat
via,lewat
app,aplikasi
apk,aplikasi
web,website
website,website
link,tautan
url,tautan
inet,internet
internet,internet
jringn,jaringan
jaringan,jaringan
sinyal,sinyal
wifi,wifi
kuota,kuota
data,data
online,daring
offline,luring
vid,video
video,video
pic,gambar
foto,gambar
musik,musik
lagu,lagu
film,film
mov,film
tv,televisi
radio,radio
brta,berita
berita,berita
artikel,artikel
bku,buku
buku,buku
mjlh,majalah
majalah,majalah
koran,koran
dok,dokumen
dokumen,dokumen
file,berkas
folder,folder
cpy,salin
salin,salin
pst,tempel
paste,tempel
tempel,tempel
cut,potong
potong,potong
del,hapus
hapus,hapus
edit,sunting
sunting,sunting
sv,simpan
simpan,simpan
save,simpan
print,cetak
cetak,cetak
idk,tidak tahu
imho,menurut pendapat saya
imo,menurut pendapat saya
fyi,untuk informasi anda
btw,ngomong-ngomong
asap,sesegera mungkin
otw,sedang di jalan
afk,pergi sebentar
brb,segera kembali
lol,tertawa terbahak-bahak
lmao,tertawa sangat keras
smh,geleng-geleng kepala
nvm,lupakan saja
tbh,sejujurnya
cmiiw,koreksi jika saya salah
oot,di luar topik
dm,pesan pribadi
pm,pesan pribadi
pc,pesan pribadi
vc,panggilan video
vn,pesan suara
gc,grup chat
grup,grup
rt,retweet
qrt,kutip retweet
fl,pengikut
foll,ikuti
follow,ikuti
unfoll,berhenti mengikuti
unfollow,berhenti mengikuti
lb,like balik
like back,like balik
fb,ikuti balik
follback,ikuti balik
mutu,mutual
mutualan,saling mengikuti
mff,maaf
sori,maaf
tq,terima kasih
thx,terima kasih
ty,terima kasih
wkwk,tertawa
xixi,tertawa
huhu,menangis
hadeuh,aduh
yaampun,ya ampun
astg,astaga
astaga,astaga
sgtu,segitu
smg,semoga
mdh2an,mudah-mudahan
mudah2an,mudah-mudahan
insyaallah,insya Allah
alhamdulillah,alhamdulillah
masyaallah,masya Allah
subhanallah,subhanallah
amin,amin
aamiin,amin
mtrnwn,matur nuwun
suwun,terima kasih
nuwun,terima kasih
mksi,makasih
makasih,terima kasih
gtw,tidak tahu
gatau,tidak tahu
gngrt,tidak mengerti
ga ngerti,tidak mengerti
gpp,tidak apa-apa
gapapa,tidak apa-apa
ok,oke
oke,oke
sip,sip
yoi,iya
iy,iya
yo,iya
bnr,benar
bener,benar
btl,betul
betul,betul
slh,salah
salah,salah
udhla,sudahlah
sudahlah,sudahlah
yaudahla,ya sudahlah
ya sudahlah,ya sudahlah
gtula,begitulah
begitulah,begitulah
gnila,beginilah
beginilah,beginilah
apalgi,apalagi
apalagi,apalagi
apalage,apalagi
kekmana,bagaimana
kykmana,bagaimana
cemana,bagaimana
gmncaranya,bagaimana caranya
bagaimana caranya,bagaimana caranya
gimana caranya,bagaimana caranya
gmnsih,bagaimana sih
gimana sih,bagaimana sih
bknnya,bukannya
bukannya,bukannya
bukanny,bukannya
hrsnya,harusnya
harusnya,harusnya
mestinya,mestinya
mstinya,mestinya
sbnrnya,sebenarnya
sbnernya,sebenarnya
sejujurnya,sejujurnya
sjjurnya,sejujurnya
sejujurny,sejujurnya
truskn,teruskan
teruskan,teruskan
lanjutkn,lanjutkan
lanjutkan,lanjutkan
bntr,bentar
bentar,sebentar
bntaran,sebentaran
sebentaran,sebentaran
sbntr,sebentar
ntaran,nanti saja
nanti saja,nanti saja
tar,nanti
bentaran,sebentar
dikitt,sedikit
sedikitt,sedikit
dkit,sedikit
dkitlg,sedikit lagi
sedikit lagi,sedikit lagi
bykan,banyakan
banyakan,kebanyakan
kbnykn,kebanyakan
kebanyakan,kebanyakan
smpt,sempat
sempet,sempat
kesmptn,kesempatan
kesempatan,kesempatan
pluang,peluang
peluang,peluang
sngja,sengaja
sengaja,sengaja
gasengaja,tidak sengaja
gasngja,tidak sengaja
tidak sengaja,tidak sengaja
khlgan,kehilangan
kehilangan,kehilangan
ktinggalan,ketinggalan
ketinggalan,ketinggalan
ktmu,ketemu
ketemu,bertemu
ktemu,bertemu
kpn2,kapan-kapan
kapan2,kapan-kapan
kpn²,kapan-kapan
suatu saat,suatu saat
kpnlg,kapan lagi
kapan lagi,kapan lagi
dimna,dimana
dimana,dimana
dimna2,dimana-mana
dimana2,dimana-mana
dimana-mana,dimana-mana
ksna,kesana
kesana,kesana
ksni,kesini
kesini,kesini
stu,situ
situ,sana/kamu
sni,sini
sini,sini
dri sni,dari sini
dari sini,dari sini
dri stu,dari situ
